Year	StatType	Terms	Statistic	P-Value	Additional Info
1996	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	28.70927536628314	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
1996	chisq		99.72367859033345	1.752138387711245e-23	
1996	tost		7.404584144319231	0.9999999999999342	
1997	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	11.857980784542702	2.1606409259746328e-27	Reporting FET on the AB hits and B totals. Probably CORRECT.
1997	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	10.405152110697705	2.3488067045748366e-25	Reporting on z test of proportions.
1997	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
1997	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	12.699250561101172	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 37.203139293938996-61.40283452547343    CI2: 1.7841024071240539-7.939479739806661 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
1997	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	33.556761847874725	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
1997	chisq		105.70675400381919	8.549547750928943e-25	
1997	tost		7.571604969283315	0.9999999999999816	
1998	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	12.573613086770981	5.738420393999129e-30	Reporting FET on the AB hits and B totals. Probably CORRECT.
1998	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	10.819889430284396	2.771114882162824e-27	Reporting on z test of proportions.
1998	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
